"All.LoD.w.o.Outliers","Combined.Costs","US.Ranking","Program.Category","Certificate","Modality","clusters","dimensions.Dim.1","dimensions.Dim.2","dimensions.Dim.3","dimensions.Dim.4","RowID"
 51,1950, 4,"STEM-Related","Yes","Online","2",-2.32233200, 0.51546213,-1.96424496, 0.92653447,760
 51,1950, 4,"STEM-Related","Yes","Online","2",-2.32233200, 0.51546213,-1.96424496, 0.92653447,761
 51,1950, 4,"STEM-Related","Yes","Online","2",-2.32233200, 0.51546213,-1.96424496, 0.92653447,762
 51,1950, 4,"STEM-Related","Yes","Online","2",-2.32233200, 0.51546213,-1.96424496, 0.92653447,763
 70,3750,12,"Marketing","Yes","Online","3", 0.80668350,-0.78154076, 0.49471030, 0.14639372,774
 70,3750,12,"Marketing","Yes","Online","3", 0.80668350,-0.78154076, 0.49471030, 0.14639372,775
 70,3750,12,"Marketing","Yes","Online","3", 0.80668350,-0.78154076, 0.49471030, 0.14639372,776
 70,3750,12,"Marketing","Yes","Online","3", 0.80668350,-0.78154076, 0.49471030, 0.14639372,777
100,3900,12,"STEM-Related","Yes","Online","3", 0.91839740,-1.29945980, 0.08326836, 1.84254051,797
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,798
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,799
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,800
 42,2800, 3,"Governance","Yes","Online","2",-1.90712092, 0.98406325,-1.36614435,-0.69186180,822
 40,2314, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.26110664, 0.66030076,-1.96769131,-2.06172654,823
 40,2314, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.26110664, 0.66030076,-1.96769131,-2.06172654,824
 40,2314, 9,"Entrepreneurship and Innovation","Yes","Online","2",-2.26110664, 0.66030076,-1.96769131,-2.06172654,825
 42,5100, 3,"STEM-Related","Yes","Online","3",-0.27195067, 0.81270952,-0.29756564, 1.33806852,855
 40,2600, 9,"STEM-Related","Yes","Online","2",-1.10910983, 0.20172758,-0.87962751, 0.33149323,856
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,859
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,860
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,861
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,862
 50,3750,12,"Marketing","Yes","Online","3", 0.61634506,-0.38617158, 0.55509407,-0.36629677,863
 50,3900,12,"STEM-Related","Yes","Online","3", 0.44255130,-0.31103686, 0.23422778, 0.56081427,873
